ts	phase	decision	why	evidence	result
2026-07-28T07:14:59Z	scope	kept Array, map, Option, and Result carriers on their existing fallbacks until individual promotion work	the registry proves eligibility, but these carriers do not yet have an activated generated representation and haxe_go-vfp.7.7 owns default promotion	docs/portable-collection-contract.md; docs/portable-option-result-contract.md; bd show haxe_go-vfp.7.7	selected bounded planner integration
2026-07-28T07:14:59Z	architecture	chose one immutable surface plan derived from GoBuildContext and registry decisions	optimizer, import, and runtime consumers must see the same eligibility and consequence choice instead of re-reading profiles or defines	src/reflaxe/go/CompilationContext.hx; src/reflaxe/go/compiler/GoSurfaceContractRegistry.hx	implementation pending
2026-07-28T07:14:59Z	authority	kept explicit go.* API lowering outside the portable surface registry	explicit native APIs are source authority, while this registry governs only portable Haxe representation specialization	docs/surface-contract-registry.md; src/reflaxe/go/compiler/GoSurfaceContractRegistry.hx	no conflation with portable surfaces
2026-07-28T07:16:20Z	contract	added paired portable-eager and metal-proven planner report assertions	the test must prove registry decisions and consequences stay identical when preset defaults and explicit specialization precedence point in opposite directions	test/test_surface_contract_registry.py; test/fixtures/surface_contract_registry/compile.portable.hxml; test/fixtures/surface_contract_registry/compile.metal.hxml	red as expected: optimizer report has no surfacePlans
2026-07-28T08:02:00Z	implementation	published one immutable surface plan and made optimizer import and runtime consumers use it	one typed authority prevents governed portable specializations from bypassing registry admission	src/reflaxe/go/compiler/GoSurfacePlanner.hx; src/reflaxe/go/CompilationContext.hx; src/reflaxe/go/GoCompiler.hx; src/reflaxe/go/GoReflaxeCompiler.hx	focused registry and report-schema contracts green
2026-07-28T08:02:00Z	runtime-reachability	replaced the final generated-Go Array support scan with a closed typed Go AST symbol walk	selective runtime packaging needs Array support for staged stdlib and explicit slice adapters but generated text and typer-only core signatures are not planning authority	src/reflaxe/go/GoCompiler.hx; full snapshot failures for file regex SSL crypto and DateTools plus the Array-free varargs control	Array packaging follows retained hxrt.Array NewArray and ArrayFromValues nodes without output scanning or false-positive varargs packaging
2026-07-28T08:02:00Z	documentation	documented safety-certificate versus routing-table authority and the separate promotion boundary	admission does not itself authorize a new default carrier and users need a direct explanation of reports and precedence	docs/surface-planner.md; docs/surface-contract-registry.md; docs/defines-reference.md	String and Bytes route established carriers while Iterator collections Option and Result remain explicit fallbacks pending exact lowering gates
2026-07-28T08:12:00Z	packaging	raised the exact package archive and embedded manifest inventories by one	the new production planner source must ship in the Haxelib archive and the isolated package smoke treats the inventory as a release contract	full npm test failed with archiveMembers 399 and manifestEntries 398	test and canonical layout evidence now expect the intentional one-file increase
2026-07-28T08:16:21Z	verification	ran the complete compiler runtime semantics stdlib examples and performance matrix	the planner changes lowering gates reports and selective packaging so focused fixtures alone are insufficient	npm test; npm run test:semantic-diff; npm run test:stdlib-sweep:go-test; npm run test:examples; npm run test:perf:hxrt-selective; npm run test:perf:go	304 snapshots 147 semantic cases 55 strict stdlib modules and 12 example lanes passed; both perf harnesses exited zero with four warning-only Go budget signals and no hard failures
2026-07-28T08:16:21Z	empty-observation-policy	treated an empty String decision set as no veto while any observed fallback still blocks the carrier fast path	staged stdlib code can introduce retained String operations after the immutable source ledger snapshot and absence of a governed use is not a registry rejection	full matrix isolated io_type_smoke as the only delta; macro assertions cover empty admitted and fallback predicates	the established String helper shape is preserved without allowing an observed rejected decision to bypass the planner
2026-07-28T08:16:21Z	independent-review	attempted dispositions for three fresh-context gpt-5.6-sol xhigh findings	before closure the implementation must not report Iterator native without an exact lowering gate and both human evidence and missing-surface regressions must match acceptance	GoSurfacePlanner activation table; GoLambdaIterableLowering structural coercion; optimizer_plan.md and hxrt_plan.md; planner fixture	reviewer accepted Markdown evidence and ObjectMap coverage but rejected merely relabeling the unchanged Iterator carrier as fallback
2026-07-28T08:34:00Z	iterator-authority	experimented with exact-shape Iterator carrier selection instead of relabeling existing output	the typed closure map appeared to be go_iterator only for admitted T while a rejected Dynamic shape would need an erased fallback and opaque aliases needed compatible lowering	focused HiddenInt and receiver-capture regressions; repeated xhigh reviews	rejected after full-suite evidence: staged and instantiated shapes appear after the immutable ledger, so late decisions were neither complete nor auditable
2026-07-28T09:18:00Z	iterator-boundary	kept Iterator on hxrt_iterator and defined go_iterator as a distinct future statically typed carrier	activating the current map[string]any structural object as native would misname an erased fallback, while late per-shape decisions would escape immutable reports and runtime consequences	full 304-case snapshot suite during promotion experiment; GoSurfaceContractRegistry Iterator contract; haxe_go-vfp.7.7	current closure maps remain unchanged and auditable as fallback; exact native carrier design and promotion stay in .7.7
2026-07-28T09:31:00Z	independent-review	received fresh-context gpt-5.6-sol xhigh PASS on the bounded final design	the earlier promotion experiment exposed provenance and late-decision gaps that required an independent final check	src/reflaxe/go/compiler/GoSurfacePlanner.hx; GoSurfaceContractRegistry Iterator contract; planner reports	no findings: Iterator remains consistently hxrt_iterator and go_iterator is explicit .7.7 future work
2026-07-28T09:39:00Z	final-verification	ran the complete compiler runtime semantics stdlib examples and performance matrix after reverting the promotion experiment	the landed planner affects reports imports runtime selection and generated packaging, so closure requires broad final evidence	npm test; npm run test:semantic-diff; npm run test:stdlib-sweep:go-test; npm run test:examples; npm run test:perf:hxrt-selective; npm run test:perf:go	304 snapshots 147 semantic cases 55 strict stdlib modules and 12 example lanes passed; both perf harnesses exited zero with five warning-only Go budget signals and no hard failures
