ts	phase	decision	why	evidence	result
2026-07-26T07:27:52Z	detection	kept the dependency audit fail-closed	the newly disclosed high brace-expansion advisory occurred in the committed operational release-tool graph	security-static-analysis CI for 88397062; GHSA-mh99-v99m-4gvg	CI rejected the vulnerable graph without an exemption
2026-07-26T07:27:52Z	investigation	rejected an ordinary lock refresh and leaf overrides	npm bundles brace-expansion and tar inside its package archive, so the root resolver cannot independently replace those bytes	npm audit fix --package-lock-only; package-lock.json bundled npm entries	affected versions remained installed
2026-07-26T07:27:52Z	investigation	rejected downgrading semantic-release or substituting npm 12	downgrading would undo the supported release stack and npm 12 still bundled the affected versions	local resolution experiments	no safe upstream-only resolution was available
2026-07-26T07:27:52Z	reachability	confirmed the npm publisher is not part of haxe.go release execution	.releaserc.json has an explicit plugin list containing only the custom analyzer; the workflow publishes GitHub and Haxelib assets separately	.releaserc.json; scripts/release/run-same-sha-release.sh	the npm publisher and its CLI subtree are installed but unused
2026-07-26T07:27:52Z	design	replaced the unused publisher with a private fail-closed local sentinel	removing the entire inactive attack surface is stronger than suppressing findings, while throwing hooks make future configuration drift safe	package.json; scripts/release/disabled-semantic-release-npm	the bundled npm, brace-expansion, and tar subtree is absent
2026-07-26T07:27:52Z	tdd	wrote the dependency-boundary contract before implementing the sentinel	the release graph, lock resolution, configured plugin exclusion, hook behavior, and gate wiring all need executable proof	test/test_semantic_release_dependency_boundary.py	three initial failures became four passing contract tests
2026-07-26T07:27:52Z	determinism	verified the lock with the repository-pinned npm version	a local npm version must not silently produce lock drift that CI's npm 11.16.0 would rewrite	npx npm@11.16.0 package-lock-only refresh and npm ci	package-lock SHA-256 remained 71470455001297be1f2ce748e6a88930ba4392a119354e66422fad3563d6741e
2026-07-26T07:27:52Z	security	scanned under the exact supported Go 1.25.12 toolchain	the host's stale Go 1.25.6 correctly failed on standard-library vulnerabilities and is not admissible release evidence	GOTOOLCHAIN=go1.25.12 npm run security:deps	npm and reachable Go vulnerability scans passed
2026-07-26T07:27:52Z	scope	updated Bead acceptance to permit complete removal	the original wording required patched versions in a subtree that the safer design eliminates	haxe_go-vfp.4.14	acceptance now treats removal as stronger than retaining patched unused bytes
2026-07-26T07:38:03Z	validation	ran targeted, full compiler, and release policy suites	the dependency boundary changes operational development installs and release policy even though compiler output is intentionally unchanged	npm run test:changed; npm test; npm run test:release-contracts	targeted gates passed, 301 snapshots passed, and all release contracts passed
2026-07-26T07:38:03Z	isolation	excluded existing review and scratch work from the implementation	the staged GPT review bundle, modified review index, and untracked probes belong to the user	git status and recorded SHA-256 fingerprints	user files remained byte-identical and outside the implementation file set
