ts	phase	decision	why	evidence	result
2026-07-27T17:53:37Z	architecture	defined go_slice as a shared slice-backed semantic carrier rather than a naked Go slice	Haxe Array aliases must observe length-changing mutations and sparse writes must retain absent/null slots	test/semantic_diff/array_identity_contract; runtime/hxrt/array.go	fully typed arrays may be catalogued only under a carrier contract that preserves shared identity and holes
2026-07-27T17:53:37Z	architecture	limited production map admission to StringMap and IntMap	ObjectMap requires Haxe object identity and EnumValueMap requires structural enum equality; neither is ordinary Go comparability	std/go/_std/haxe/ds/StringMap.hx; std/go/_std/haxe/ds/IntMap.hx; std/go/_std/haxe/ds/ObjectMap.hx; test/semantic_diff/ds_maps_list_contract	fixed string/int key surfaces may use map-backed semantic carriers while ObjectMap remains contract_missing
2026-07-27T17:53:37Z	boundary	kept explicit go.Map outside portable surface admission	go.Map is target-native authority and its compatibility fallback uses Std.string key coercion, which cannot prove portable Haxe map equality	src/go/Map.hx; src/reflaxe/go/compiler/GoCompiler.hx	portable admission never consumes go.Map fallback behavior as semantic evidence
2026-07-27T17:53:37Z	eligibility	admit recursively typed element/value shapes and reject Dynamic or unresolved nested shapes	nested typed collections can recursively use semantic carriers; Dynamic and unknown shapes can hide unproven representation and alias behavior	src/reflaxe/go/compiler/GoSurfaceContractRegistry.hx	registry rules remain fail-closed and report the exact rejection
2026-07-27T18:19:31Z	tdd	added registry expectations before production collection contracts	admission authority must fail until exact carriers, fallbacks, and fixed-key rules exist	npm run test:surface-contract-registry	failed on missing fixed-key rule and missing production catalog entries as expected
2026-07-27T18:19:31Z	verification	proved focused collection semantics and deterministic admission	review needs source-semantic evidence plus typed admitted/rejected decisions	npm run test:surface-contract-registry; python3 test/run-semantic-diff.py --case portable_collections_contract --case array_identity_contract --case ds_maps_list_contract	all focused registry and three semantic cases passed
2026-07-27T18:19:31Z	verification	ran required compiler and repository gates	collection authority affects compiler reports even though lowering remains observational	npm run test:changed; npm test; npm run test:semantic-diff; npm run test:stdlib-sweep:go-test; npm run test:examples	changed gate passed; 304 snapshots, 145 semantic cases, 55 strict stdlib modules, and 12 example lanes passed
2026-07-27T18:19:31Z	scope	did not activate collection lowering in this task	registry admission and planner consumption are separate authorities; early consumption would bypass the dedicated integration task	docs/surface-contract-registry.md; haxe_go-vfp.7.6	catalog and reports change now while generated programs retain existing fallbacks
2026-07-27T18:26:12Z	review-correction	expanded IntMap proof to the same semantic matrix as StringMap	the independent xhigh review found IntMap only proved basic access despite the contract claiming alias callback null empty nested and Dynamic-fallback behavior	test/semantic_diff/portable_collections_contract; test/fixtures/surface_contract_registry/RegistryContractHarness.hx	IntMap now proves alias-visible and callback mutation iteration present-null empty/missing nested identity and Dynamic/nested-Dynamic fallback
2026-07-27T18:26:12Z	review-correction	removed generated-shape proof from the two map contracts	the independent xhigh review found the cited compile fixture generated and asserted only Array fallback shape	src/reflaxe/go/compiler/GoSurfaceContractRegistry.hx; test/test_surface_contract_registry.py	StringMap and IntMap now claim only their actual semantic evidence while Array retains the asserted generated fallback proof
2026-07-27T18:30:49Z	review-correction	reject collection payloads whose concrete carrier is hidden by typedef abstract or type-parameter shapes	the independent xhigh review found the ledger records nominal alias identity but not its followed underlying type so typedef Hidden = Dynamic bypassed a Dynamic-only scan	src/reflaxe/go/compiler/GoTypeUsageLedger.hx; src/reflaxe/go/compiler/GoSurfaceContractRegistry.hx; test/fixtures/surface_contract_registry/Main.hx	a closed recursive carrier rule admits core primitives Null classes enums functions and anonymous shapes but fails opaque aliases and generic parameters with a reportable fallback reason
2026-07-27T18:30:49Z	review-correction	added complete IntMap shallow-copy evidence	the independent xhigh review found the contract and docs claimed shallow-copy behavior without exercising IntMap.copy	test/semantic_diff/portable_collections_contract	IntMap copy now proves independent entries nested alias retention and present-null preservation against the interpreter
2026-07-27T18:46:57Z	independent-review	accepted the final collection admission boundary after all corrections	xhigh work requires a fresh second pass before closure	gpt-5.6-sol final review	PASS with no findings; focused registry and all three cited semantic cases passed and git diff --check was clean
2026-07-27T18:46:57Z	verification	repeated every required gate after the final opaque-alias and IntMap-copy corrections	the landed evidence must exercise the exact implementation approved by review	npm run test:changed; npm test; npm run test:semantic-diff; npm run test:stdlib-sweep:go-test; npm run test:examples	changed gate and compiler-debt contract passed; 304 snapshots, 145 semantic cases, 55 strict stdlib modules, and 12 example lanes passed
