ts	phase	decision	why	evidence	result
2026-07-28T09:35:45Z	architecture	centralize typed capability selection, dependency expansion, files, and reasons in one immutable runtime manifest	copy output and reports currently recompute the same decision with strings and full-copy exceptions	src/reflaxe/go/compiler/GoHxrtFeatureAnalyzer.hx; src/reflaxe/go/GoReflaxeCompiler.hx	design seam isolated; failing contract next
2026-07-28T09:55:26Z	tdd	added failing report and perf contracts before production changes	the task requires runtime copying, reports, and performance measurement to share one authority	test/test_surface_contract_registry.py; test/run-auto-planner-schema.py; test/test_perf_budget_policy_contract.py	red on missing manifest, no-hxrt fields, and perf wiring
2026-07-28T09:55:26Z	implementation	made one immutable typed runtime manifest drive exact file copying and hxrt_plan schema v4	separate string expansion and full-copy file branches could disagree with reports	src/reflaxe/go/compiler/GoRuntimeCapabilityManifest.hx; src/reflaxe/go/GoReflaxeCompiler.hx	focused portable and metal integration contracts green
2026-07-28T09:55:26Z	compatibility	kept dormant full-copy capabilities from pulling footprint-explicit dependencies	the first full-copy regression added array.go to an empty program because broad json.go was incorrectly treated as active JSON usage	test/snapshot/core/runtime_hxrt_full_default	corrected manifest preserves prior full-copy file set
2026-07-28T09:55:27Z	runtime-debt	removed three unowned map snapshot helpers and their unused ObjectMapEntry carrier	staged Serializer uses typed Keys/Get APIs, current source has no caller, and the retired historical compiler emitter that called them was replaced by staged serialization in abd42e87	runtime/hxrt/map_int.go; runtime/hxrt/map_string.go; runtime/hxrt/map_object.go; test/test_stdlib_migration_ledger_contract.py; git show d31a67a8:src/reflaxe/go/compiler/emit/GoRegexSerializerEmitter.hx; git show --stat abd42e87	682 copied helper occurrences removed; no current or admitted compatibility consumer remains
2026-07-28T09:55:27Z	perf	made the selective runtime size harness validate and measure compiler manifest files	size evidence must consume the same manifest as generated output	scripts/ci/perf-hxrt-selective.sh; .cache/perf-hxrt-selective/results/summary.md	full and selective portable/metal lanes pass
2026-07-28T09:55:27Z	snapshot	regenerated compiler and example contract artifacts after intentional runtime/report changes	committed generated outputs must match the packaged runtime and schema	test/snapshot; examples/*/generated	304 snapshots and 12 example lanes passed
2026-07-28T10:11:23Z	validation	ran the full compiler, semantic, stdlib, example, release, and performance gates	runtime slicing changes affect packaging, generated output, portable semantics, and footprint evidence	npm test; npm run test:semantic-diff; npm run test:stdlib-sweep:go-test; npm run test:examples; npm run test:release-contracts; npm run test:perf:go; npm run test:perf:hxrt-selective	304 snapshots, 147 semantic cases, 55 upstream modules, 12 example lanes, release contracts, and both perf harnesses passed; Go perf recorded six warning-only signals and zero hard failures
2026-07-28T10:11:23Z	self-audit	checked decision-log claims against repository artifacts and command results before independent review	the host did not expose a transcript artifact path, so the audit used the live worktree, generated reports, test summaries, and shell exit status as the available evidence	git diff --check; git diff; test/.test-cache/semantic_diff_last_run.json; test/.test-cache/upstream_std_sweep_last.json; .cache/perf-hxrt-selective/results/summary.md; .cache/perf-go/results/summary.md	local evidence matched, but the audit missed a retired historical compiler caller; the independent review caught and corrected that provenance overstatement; transcript-path check unavailable is disclosed
2026-07-28T10:13:45Z	independent-review	corrected the map-helper provenance before closure	the fresh-context reviewer found that d31a67a8's compiler serializer emitter called all three helpers before abd42e87 retired that emitter	git show d31a67a8:src/reflaxe/go/compiler/emit/GoRegexSerializerEmitter.hx; git show --stat abd42e87	docs and log now distinguish retired historical ownership from the absence of any current or admitted compatibility consumer
