ts	phase	decision	why	evidence	result
2026-07-28T04:06:51Z	boundary	kept registry admission observational until the dedicated planner task	semantic proof and representation activation are separate authorities	docs/surface-contract-registry.md; haxe_go-vfp.7.6	this task can define safe carriers without silently changing generated programs
2026-07-28T04:06:51Z	string	defined go_string as a nullable pointer-backed Go string carrier with Haxe value and Unicode-scalar behavior	a naked non-null Go string would erase Haxe null while byte indexing would change non-ASCII operations	runtime/hxrt/string.go; test/semantic_diff/unicode_string_source_owned	string admission must retain the string runtime capability
2026-07-28T04:06:51Z	bytes	defined go_byte_slice as a shared Bytes object with authoritative aliasing []int storage and a cached opaque []byte view	a naked []byte cannot preserve BytesData Int access and bidirectional alias mutation	std/go/_std/haxe/io/Bytes.hx; runtime/hxrt/bytes.go	native byte views remain cacheable but mutations invalidate them
2026-07-28T04:06:51Z	iterator	limited iterator recognition to the exact structural hasNext and next protocol	ordinary anonymous objects must not become iterator authority merely because their representation is structural	src/reflaxe/go/compiler/GoTypeUsageLedger.hx; src/reflaxe/go/compiler/GoLambdaIterableLowering.hx	the registry needs an exact anonymous-field pattern and proven element shape
2026-07-28T04:06:51Z	closure	limited typed closure admission to recursively proven function signatures	typed Go functions preserve shared captures but Dynamic unresolved generic and opaque alias boundaries still require erased fallback	src/reflaxe/go/compiler/GoTypeMapper.hx; runtime/hxrt/reflect.go	the registry needs an any-arity function-root pattern plus a fail-closed signature rule
2026-07-28T04:11:25Z	closure-correction	withheld HaxeFunction admission after receiver identity failed semantic diff	Go reflect function pointers identify code and made the same method on different objects compare equal	test/semantic_diff/portable_iterator_closure_contract; haxe_go-vfp.7.11	captures reuse loop capture and basic identity pass but full portable method identity needs a separate callable carrier
2026-07-28T04:25:00Z	tdd-red	encoded the eight-contract catalog and exact String Bytes Iterator admission expectations before production changes	the registry must fail visibly until the new authority and documentation exist	npm run test:surface-contract-registry	catalog stayed at five exact Iterator had no decision and the value-surface document was absent
2026-07-28T04:27:29Z	typed-iterator-evidence	resolved only canonical StdTypes.Iterator<T> into its anonymous protocol in the typed ledger	real post-DCE evidence retained the standard typedef name and otherwise could not match the exact structural contract	type_usage.json from test/fixtures/surface_contract_registry	typed and Dynamic iterators now produce exact anonymous decisions while user typedefs stay opaque
2026-07-28T04:27:29Z	tdd-green	admitted String Bytes and typed Iterator while keeping functions missing	the new carriers and all fallback/runtime consequences now have executable contracts	npm run test:surface-contract-registry; npm run test:type-usage-ledger; four focused semantic-diff cases	all focused checks passed and the populated catalog reports six admissions plus six intentional rejections
2026-07-28T05:17:00Z	second-pass-review	accepted all three independent review findings before closure	the v1 schema had been changed in place Iterator fail-closed edges needed broader regression coverage and the Bytes normalization proof was not registered	fresh-context gpt-5.6-sol xhigh review	task remains open while schema v2 coverage and proof metadata are corrected
2026-07-28T05:22:00Z	review-tdd-red	encoded immutable schema v1 schema v2 outer Iterator alias and anonymous near-miss contracts before remediation	review corrections must fail against the flawed implementation before becoming evidence	npm run test:surface-contract-registry	missing v2 schema and emitted schemaVersion 1 failed as expected
2026-07-28T05:35:00Z	review-remediation-green	published schema v2 preserved and hash-pinned schema v1 expanded fail-closed Iterator evidence and registered Bytes normalization proof	each independent review finding now has executable evidence	npm run test:surface-contract-registry; npm run test:type-usage-ledger; focused Bytes String and Iterator semantic-diff cases	all focused checks passed and the second review found no production correctness lowering or compatibility defect
2026-07-28T05:42:00Z	final-review	accepted the corrected design after a fresh-context xhigh pass	xhigh closure requires independent review after remediation	gpt-5.6-sol fresh-context review	PASS with no findings
2026-07-28T05:42:00Z	final-gates	kept admission observational and verified every required compiler runtime stdlib and example contract	the next planner task must consume only evidence that is green in the final tree	npm run test:changed; npm test; npm run test:semantic-diff; npm run test:stdlib-sweep:go-test; npm run test:examples	changed gate passed snapshots 304/304 semantic diff 147/147 stdlib 55/55 examples 12/12 and compiler debt stayed within baseline
