ts	phase	decision	why	evidence	result
2026-08-01T19:52:19Z	scoping	Use thinking:high for the managed development loop	Watcher debounce, compiler reuse, child restart, and signal cleanup form one lifecycle contract; mistakes can leak processes or run stale code	haxe_go-vfp.12.8 acceptance criteria and reasoning calibration	Task claimed at thinking:high
2026-08-01T19:52:19Z	selection	Implement haxe_go-vfp.12.8 before the larger active-inventory expansion	It is the highest-priority ready task that directly answers the requested fast application-development workflow	bd show haxe_go-vfp.12.8; haxe_go-vfp.12.10 remains P2	Proceeding with the managed watch loop
2026-08-01T19:52:19Z	architecture	Keep scripts/dev/go-hx.sh as the one-shot build authority	The watcher should orchestrate input discovery, rebuilds, and process ownership without copying HXML, profile, output, or Go-action selection	scripts/dev/go-hx.sh; sibling haxe.elixir.codex watcher precedent	Design watcher as a thin standard-library Python orchestrator
2026-08-01T19:56:00Z	baseline	Measure the existing direct build twice before adding watch topology	The Bead requires an honest cold/warm comparison and a compiler server must remain an evidence-backed accelerator	portable tui_todo build to a fresh /tmp output: 3.97s first run, 3.58s second direct run	Recorded direct baseline; no compiler-server claim yet
2026-08-01T19:58:00Z	red	Write the watcher behavior contracts before implementation	The lowest faithful owners are input-graph parsing, debounce state, run lifecycle, POSIX process-group cleanup, wrapper plan selection, and scaffold/documentation wiring	python3 test/test_dev_watch.py: 6 errors because watcher, plan mode, guide, and wiring do not exist	Red state confirmed for the intended missing feature
2026-08-01T20:08:00Z	red	Prove the installed-package delivery gap against the pre-fix commit	A scaffold must find the same watcher from an installed Haxelib, not depend on this repository remaining beside it	Detached exact HEAD 3c40aa5d package build lacked tools/go-hx.sh and tools/haxe_go_watch.py	Packaging regression owner was red for the intended reason
2026-08-01T20:08:00Z	green	Implement focused watcher lifecycle and package wiring	The smallest coherent seam is a Python standard-library orchestrator plus a machine-readable plan mode on the existing wrapper	python3 test/test_dev_watch.py: 6 passed; bash syntax and Python bytecode checks passed	Focused behavior is green; vertical package and real compiler proof remain
2026-08-01T20:12:00Z	tracer-red	Run the real authored-source -> Haxe compiler -> Go build -> executable -> edit/rebuild path	A focused fake process cannot prove host process-group behavior for a short-lived generated program	Direct template run built and printed hello; the edit rebuilt successfully, then macOS returned EPERM while stopping the already-exited process group	Vertical proof found a real cleanup defect; completion remains blocked on its regression and rerun
2026-08-01T20:16:00Z	benchmark	Enable the managed server by default for long-lived watch sessions	The real template edit fell from 3.06s direct to 1.01s server-backed while cold startup stayed comparable at 3.60s; one-shot/CI remain direct	Real template tracer on Darwin arm64; server run reported Only recompiled 24 files	Default watch uses the owned server with direct fallback; --server off and --once retain cold proof
2026-08-01T20:16:00Z	red	Lock the benchmark-backed default before changing it	The speed claim should be a durable command contract rather than documentation alone	focused parser contract expected server=on and failed because current default was off	Red state confirmed, then implementation and docs changed
