ts	phase	decision	why	evidence	result
2026-07-27T04:29:51Z	design	split readiness into candidate and published phases	hosted GitHub assets do not exist before reconciliation, so one timestamp cannot honestly prove both states	docs/release-readiness-evidence.md	two explicit fail-closed phases
2026-07-27T04:29:51Z	tdd	wrote mutation fixtures before the evaluator	the gate needed executable proof for every required failure branch rather than prose-only policy	test/test_release_readiness_gate.py	red on missing evaluator, then 14 tests green
2026-07-27T04:29:51Z	host-truth	made live mode replace supplied hosted facts with GitHub API responses	a caller-controlled JSON boolean cannot prove that GitHub state is authoritative	scripts/release/verify-release-readiness.py	fake API contract proves supplied host claims are ignored
2026-07-27T04:29:51Z	transaction	wired both phases into the same-SHA release wrapper and exact workflow SHA	the evidence must describe the commit whose upstream jobs passed and the assets independently verified in that transaction	scripts/release/run-same-sha-release.sh, .github/workflows/ci-harness.yml	candidate runs before reconciliation and published runs after it
2026-07-27T04:29:51Z	second-pass	replaced synthesized blocker priority and status with the reviewed Beads snapshot	conservative invented values were still not provenance and could mislead a later reviewer	release/readiness-policy.json	actual P0/P1/P2 and open/closed states recorded; owner drift fails
2026-07-27T04:29:51Z	validation	accepted the implementation for independent review	focused contracts, release composition, changed tests, and the full compiler baseline all passed	test/test_release_readiness_gate.py, test/run-release-contracts.py, npm test	14 readiness tests green; release suite green; 301/301 snapshots green
2026-07-27T04:53:02Z	review-correction	superseded the committed/local blocker snapshot model	the independent xhigh review found that local records were not proven to belong to the recorded remote commit and that rechecking mutable tracker state could break a release after publication	scripts/release/refresh-readiness-blockers.py, scripts/release/run-same-sha-release.sh	isolated remote Beads collection now pins one stable refs/dolt/data commit and one evidence file is reused for both phases
2026-07-27T04:53:02Z	live-check	exercised remote blocker collection against the configured tracker	fixture tests alone cannot prove that the isolated Beads client works with the real remote	/tmp/haxe-go-release-blockers-*.json	collected four governed blockers at remote Dolt commit 6ba89dabe81e5efb864b784d2a17f2ba3d0317c3 without changing repository files
2026-07-27T04:53:02Z	review-correction	added exact hosted runner image evidence	the independent xhigh review found that ubuntu-latest plus a qualification hash did not satisfy the compatibility authority's exact-image requirement	.github/workflows/ci-harness.yml, scripts/release/collect-upstream-release-evidence.py	the Linux quality job exports ImageOS and ImageVersion and readiness fails when either is missing or malformed
2026-07-27T04:53:02Z	validation	revalidated the corrected release contracts	the correction changes release provenance and therefore needs the focused gate, workflow wiring, and complete release composition suite	test/test_release_readiness_gate.py, test/test_release_identity_contract.py, test/run-release-contracts.py	16 readiness tests, 6 identity tests, and the full release contract composition pass
2026-07-27T04:53:02Z	final-review	accepted after independent xhigh re-review	fresh-eyes review is required before closing a provenance-sensitive release gate	docs/reviews/release-readiness-vfp-6.5.md	gpt-5.6-sol PASS with no remaining release-blocking findings; closure justified
