ts	phase	decision	why	evidence	result
2026-07-19T22:53:47Z	frame	claimed the metal preset decision without assuming deprecation	retain, rename, deprecate, and remove remain live alternatives until usage, replacement, compatibility, and independent-review evidence converge	Bead haxe_go-vfp.6.6; commit 93a1fd11d80f40092d23b7cec5e9846b856f46e0	investigation open
2026-07-19T22:53:47Z	provenance	kept the user review bundle outside the decision worktree	its staged state belongs to the user and must not contaminate this decision commit	staged diff SHA-256 8b6a6c755538db5234401349465c53b5a208f139a44cc9fb12665b49a1afe3f0	preserved in stash
2026-07-19T23:02:57Z	contract	captured a failing retention contract before decision artifacts	the xhigh decision needs executable proof of source boundaries, usage inventory, preset equivalence, and exact review provenance	python3 test/test_metal_preset_retention_contract.py; four missing-artifact errors and one passing source-boundary assertion	RED established
2026-07-19T23:02:57Z	architecture	treated metal as a policy shortcut rather than a lowering input	direct profile references are confined to parsing, preset mapping, and compatibility reports; GoCompiler has no metal profile branch	src/reflaxe/go/ProfileResolver.hx; src/reflaxe/go/compiler/GoPolicyPreset.hx; src/reflaxe/go/GoReflaxeCompiler.hx; test_metal_preset_retention_contract.py	no compiler refactor required
2026-07-19T23:02:57Z	usage	did not infer safe removal from absent public search hits	GitHub code search cannot observe private repositories, local HXML, generated flags, or unindexed CI while this repository has substantial selector-shaped contracts	metal-preset-usage-evidence-vfp-6.6.json	public results classified as a lower bound
2026-07-19T23:02:57Z	precedent	used target-specific sibling contracts instead of forcing one profile design	Rust retains irreducible global semantics; Elixir carries intent at source/API boundaries; Ruby preserves existing public aliases when churn has no payoff	commits c1c95fbe7debccac68975ac9b5d75c115894675f, a4897cd3106f916c26f813388215f69699e742cc, a74818e996b68e467621a76cfaae520f553c6960	Go follows local source authority plus public compatibility retention
2026-07-19T23:02:57Z	decision	selected retain over rename, deprecate, or remove	axes replace effective behavior but not one-switch ergonomics; removing an accepted input yields no architectural simplification now that lowering is profile-independent	docs/metal-preset-retention-decision.md; paired equivalence fixtures	draft retention verdict ready for independent review
2026-07-19T23:07:49Z	review-provenance	rejected the first direct review attempt as incomplete	the CLI proved gpt-5.6-sol at xhigh but the model self-aborted before reviewing because it could not introspect wrapper routing; exact routing proof and substantive review are both required	Codex CLI 0.144.6 session 019f7ca3-0acb-7283-8582-f8b669429736; draft be0252bc	prompt clarified; no review finding accepted
2026-07-19T23:16:50Z	independent-review	accepted the reviewer verdict to retain with follow-ups	direct gpt-5.6-sol xhigh tracing found no profile-name semantic, generated-behavior, or runtime-ownership branch and rejected warning, rename, deprecation, and removal now	review-vfp-6.6-metal-preset.md; session 019f7ca3-bcfe-7ec2-ba35-ecc76146f68a; reviewed commit 4c0d8eb48d336e3149c26efa55bb4ddce4f7fbb5	selector-deprecation verdict RETAIN
2026-07-19T23:16:50Z	finding-adjudication	accepted and fixed F-1 inventory provenance	the original base commit predated the equivalence fixture and could not reproduce the recorded count	separate networkCaptureContextCommit, repositoryInventoryCommit, and repositoryInventoryTree fields plus pinned-count assertions	inventory evidence is commit reproducible
2026-07-19T23:16:50Z	finding-adjudication	accepted and fixed F-2 indirect preset guard coverage	a literal GoProfile.Metal search would miss future branches through the preset enum, predicates, or build context	test_metal_preset_retention_contract.py inventories preset literals, predicates, policyPreset consumers, report tag, and GoCompiler exclusions	profile-shaped semantic drift fails the contract
2026-07-19T23:16:50Z	finding-adjudication	accepted F-3 as an intentional compatibility fact	explicit axes reproduce generated behavior but selector, provenance, strict-input, legacy fallback, and planner-reason report fields intentionally differ	paired profile_contract and optimizer_plan reports; decision replacement section	future deprecation requires report-consumer migration evidence
2026-07-19T23:16:50Z	architecture	did not introduce a universal IR or second backend	the independent source trace confirmed typed policy resolution and the existing AST-first pipeline are sufficient for this compatibility decision	review decision verdict and selector-deprecation verdict	IR scope remains governed by actual cross-pass semantic pressure
2026-07-19T23:39:22Z	validation	accepted the retention decision for closure	focused review provenance, report equivalence, runtime behavior, release governance, compiler debt, and the complete compiler snapshot surface are green	metal retention contract 5/5; paired runtime snapshots 2/2; release contracts; test:changed; npm test 301/301	no implementation or performance lane changed; decision ready to close
